date,entry_time,exit_time,ticker,action,close_action,direction,entry_price,exit_price,shares,position_value,profit_loss_pct,profit_loss_dollars,exit_reason,hold_duration_seconds,indicator_name,entry_spread_pct,atr_at_entry,momentum_at_entry
2025-04-09,2025-04-09T12:29:00,2025-04-09T12:36:00,NVDA,buy_to_open,sell_to_close,long,106.6160,108.4380,18.7589,2000.00,1.7089,34.18,Trailing stop triggered at $109.4015 (locking in 2.33% profit),420.0,Momentum Trading,0.2743,0.0000,0.0000
2025-04-09,2025-04-09T12:29:00,2025-04-09T12:36:00,PLTR,buy_to_open,sell_to_close,long,85.0749,87.2410,23.5087,2000.00,2.5461,50.92,Trailing stop triggered at $87.9256 (locking in 3.00% profit),420.0,Momentum Trading,0.3413,0.0000,0.0000
2025-04-09,2025-04-09T12:39:00,2025-04-09T13:05:00,SNAP,buy_to_open,sell_to_close,long,8.0060,8.2335,249.8126,2000.00,2.8416,56.83,Trailing stop triggered at $8.2479 (locking in 2.74% profit),1560.0,Momentum Trading,0.2752,0.0000,0.0000
2025-04-09,2025-04-09T12:46:00,2025-04-09T12:59:00,COIN,buy_to_open,sell_to_close,long,172.9760,176.0336,11.5623,2000.00,1.7677,35.35,Trailing stop triggered at $176.2825 (locking in 1.56% profit),780.0,Momentum Trading,0.3428,0.0000,0.0000
2025-04-09,2025-04-09T12:54:00,2025-04-09T13:05:00,BAC,buy_to_open,sell_to_close,long,36.3520,37.0562,55.0176,2000.00,1.9372,38.74,Trailing stop triggered at $37.1135 (locking in 2.00% profit),660.0,Momentum Trading,0.0936,0.0000,0.0000
2025-04-09,2025-04-09T13:06:00,2025-04-09T14:07:00,RIVN,buy_to_open,sell_to_close,long,11.8675,11.5752,168.5276,2000.00,-2.4628,-49.26,max_hold_60min,3660.0,Momentum Trading,0.1263,0.0000,0.0000
2025-04-09,2025-04-09T13:08:00,2025-04-09T13:13:00,UBER,buy_to_open,sell_to_close,long,71.2630,71.8944,28.0651,2000.00,0.8859,17.72,Trailing stop triggered at $71.9560 (locking in 0.88% profit),300.0,Momentum Trading,0.0927,0.0000,0.0000
2025-04-09,2025-04-09T13:20:00,2025-04-09T13:33:00,DIS,buy_to_open,sell_to_close,long,90.2886,91.1810,22.1512,2000.00,0.9884,19.77,Trailing stop triggered at $91.4029 (locking in 1.13% profit),780.0,Momentum Trading,0.1077,0.0000,0.0000
2025-04-09,2025-04-09T13:34:00,2025-04-09T14:33:00,PLTR,buy_to_open,sell_to_close,long,91.6410,92.3000,21.8243,2000.00,0.7191,14.38,Trailing stop triggered at $92.6313 (locking in 0.92% profit),3540.0,Momentum Trading,0.1551,0.0000,0.0000
2025-04-09,2025-04-09T13:39:00,2025-04-09T14:40:00,COIN,buy_to_open,sell_to_close,long,181.9600,178.3850,10.9914,2000.00,-1.9647,-39.29,max_hold_60min,3660.0,Momentum Trading,0.1485,0.0000,0.0000
